ID_emp,Name,last_name,birth_date,Gender,area,salary,start_date,finish_date,promotion_date,type,fecha,hora,age
00-0037846,Kimmy,Walczynski,1991-06-04,male,Engineering,77719,2002-01-20,NULL,,Hybrid,NULL,NULL,32
00-0041533,Ignatius,Springett,1984-06-29,male,"Business Development",135189,2019-04-08,NULL,,Hybrid,NULL,NULL,39
00-0045747,Corbie,Bittlestone,1989-07-29,male,Sales,122484,2010-10-12,NULL,,Remote,NULL,NULL,34
00-0055274,Baxy,Matton,1982-09-14,female,Services,82100,2005-04-10,NULL,,Hybrid,NULL,NULL,41
00-0076100,Terrell,Suff,1994-04-11,female,"Product Management",114648,2010-09-29,"2029-10-29 06:09:38",,Remote,2029-10-29,06:09:38,29
00-0116166,Kacie,Offiler,1971-01-18,male,Engineering,121044,2018-09-01,NULL,,Hybrid,NULL,NULL,52
00-0363185,Sandro,Admans,1979-11-19,male,"Product Management",174195,2012-11-08,NULL,,Remote,NULL,NULL,44
00-0380704,Eugene,Lehrahan,1988-10-14,female,Engineering,66031,2007-06-27,NULL,,Remote,NULL,NULL,35
00-0381660,Wainwright,Corfield,1996-12-13,male,Engineering,164055,2001-02-20,"2008-12-05 01:21:48",,Hybrid,2008-12-05,01:21:48,26
00-0419202,Dyann,Isoldi,1980-03-27,male,Engineering,135543,2005-01-27,NULL,,Remote,NULL,NULL,43
00-0472287,Grantley,Oret,1975-09-06,male,Services,166001,2004-11-01,NULL,,Remote,NULL,NULL,48
00-0472832,Elmore,Worner,1966-01-07,female,Engineering,117567,2000-12-05,NULL,,Remote,NULL,NULL,57
00-0566380,Dud,Brain,1984-03-17,male,"Business Development",150237,2008-09-17,NULL,,Hybrid,NULL,NULL,39
00-0571075,Aguie,Conford,1971-11-02,male,"Business Development",174698,2015-11-25,NULL,,Remote,NULL,NULL,52
00-0624189,Katerina,Rosborough,1967-08-20,male,Engineering,124803,2019-05-17,NULL,,Remote,NULL,NULL,56
00-0715212,Alida,Longley,1973-01-28,female,Accounting,156904,2002-02-04,NULL,,Hybrid,NULL,NULL,50
00-0755645,Laraine,Petre,1967-05-11,male,Engineering,140626,2010-09-30,NULL,,Remote,NULL,NULL,56
00-0778934,Gareth,MacCook,1987-02-21,female,Legal,107742,2010-02-18,NULL,,Remote,NULL,NULL,36
00-0794247,Scottie,Chestney,1972-02-23,female,Engineering,90315,2002-07-03,NULL,,Remote,NULL,NULL,51
00-0948136,Christophorus,Boseley,1983-05-23,female,Marketing,124809,2007-09-06,NULL,,Remote,NULL,NULL,40
00-0971612,Arleyne,Froome,1999-08-01,male,Engineering,137597,2015-04-09,NULL,,Remote,NULL,NULL,24
00-1051096,Todd,Cashen,1999-06-19,female,Accounting,115695,2014-06-20,NULL,,Remote,NULL,NULL,24
00-1052230,Elmo,McNee,1988-12-16,female,Services,78418,2002-07-18,"2006-05-22 20:14:26",,Remote,2006-05-22,20:14:26,34
00-1100714,Regen,Nafzger,1990-04-06,male,"Human Resources",164369,2016-07-23,"2022-07-12 02:26:01",,Hybrid,2022-07-12,02:26:01,33
00-1147503,Penelope,Wenman,1994-12-19,male,"Business Development",154937,2019-09-10,NULL,,Remote,NULL,NULL,28
00-1189819,Rudolf,Reichardt,1979-06-05,male,"Business Development",97134,2007-05-07,"2022-02-25 03:21:03",,Hybrid,2022-02-25,03:21:03,44
